Issue Type,Summary,Description,Status,Labels,Labels,Epic Name,Epic Link
Epic,Wave 0 前端骨架/導演台,"四殼一脊椎前端骨架＋三欄導演台。全部完成（PR #852–#862）。",Done,wave0,,Wave 0 前端骨架/導演台,
Epic,Wave 1 SSOT+接線,"假資料換真資料、prompt↔asset 關聯、供應商門面。進行中。",In Progress,wave1,,Wave 1 SSOT+接線,
Epic,Wave 2 耐久任務/成本/血統,"任務耐久化、成本落帳閉環、上傳、fal 雙層生影片。",To Do,wave2,,Wave 2 耐久任務/成本/血統,
Epic,Wave 3 重後端/基建/協作,"M3 段落狀態機、Supabase 遷移、生成鎖、即時協作、XState 收斂。",To Do,wave3,,Wave 3 重後端/基建/協作,
Epic,Wave 4 代理建置區/BYOMCP,"可觀察/可審核/半唯讀 builder → BYOMCP 權限稽核 → orchestrator+worker。",To Do,wave4,,Wave 4 代理建置區/BYOMCP,
Story,4-shell 重構（flag-gated）,"PR #852–#861 已合併 main（2026-06-06/07）。ENABLE_4SHELL 預設 OFF。驗收：tsc/scan/測試綠、旗標 OFF 零行為改變。https://github.com/aa0968111723-prog/healing-studio/pull/852",Done,,,,Wave 0 前端骨架/導演台
Story,Wave 0 三欄導演台正式碼,"PR #862 已於 2026-06-11 合併 feat/4-shell-restructure（尚未回流 main）。驗收：tsc/scan/測試綠、旗標 OFF 逐像素一致。https://github.com/aa0968111723-prog/healing-studio/pull/862",Done,,,,Wave 0 前端骨架/導演台
Story,互動原型（三欄導演台）,"bruce882-ai-director-video-proto.static.hf.space",Done,,,,Wave 0 前端骨架/導演台
Story,技術簡報（落地路線圖）,"bruce882-ai-director-video-brief.static.hf.space（活文件）",Done,,,,Wave 0 前端骨架/導演台
Story,Project SSOT：MOCK→真 creative_projects,"PR #863 已於 2026-06-12 合併 feat/4-shell-restructure。ENABLE_PROJECT_SSOT 旗標（4SHELL 之下預設 ON、線上 OFF）；active id 歸 WorldContext。依賴 #862。https://github.com/aa0968111723-prog/healing-studio/pull/863",Done,,,,Wave 1 SSOT+接線
Story,prompt_assets junction 表,"PR #864 已於 2026-06-12 合併 main。migration 0075 冪等可回滾；ENABLE_PROMPT_ASSET_LINKS 預設 OFF；讀取 procedure：promptLibrary.linkedAssets / assets.linkedPrompts；admin backfill 已備。https://github.com/aa0968111723-prog/healing-studio/pull/864",Done,decision-resolved,,,Wave 1 SSOT+接線
Story,合流 feat/4-shell-restructure → main,"聚合 #862（導演台）+ #863（SSOT）回流 main。驗收：旗標 OFF 線上零變化、CI 綠。依賴 #862 #863。下一步建議。",To Do,,,,Wave 1 SSOT+接線
Story,junction backfill 真 DB 實跑,"admin 呼叫 promptLibrary.backfillAssetLinks 並核對 totalLinked；可重跑冪等。依賴 #864 與 DATABASE_URL 環境。",To Do,,,,Wave 1 SSOT+接線
Story,junction relation 寫入點（variant/rewrite/extended）,"座艙重骰/改寫/延長流程接上三種 relation。依賴 #864 與導演台流程。",To Do,,,,Wave 1 SSOT+接線
Story,prompt_library content 去重策略,"已於 AIDV-10 拍板 upsert-by-content（scope=userId+category+content；content 走 BINARY 比對避免 _ci 折疊；命中重用累計 useCount）。生成鏈 findOrCreatePromptByContent query-before-insert，非破壞性、不動 migration。同 content 生成 N 次→一列 prompt、N asset 連同一列。",Done,decision-resolved,,,Wave 1 SSOT+接線
Story,統一供應商門面＋Cloudflare AI Gateway,"所有生成呼叫過統一門面；免費 Cloudflare AI Gateway 做快取/觀測。",To Do,,,,Wave 1 SSOT+接線
Story,其餘可接子系統接真實 procedure,"18 子系統矩陣的 ✅8 可接項；部分已在 #862 完成。逐項列實際 procedure 名。",In Progress,,,,Wave 1 SSOT+接線
Story,任務耐久化 BullMQ+Redis+可重連 SSE,"殺 5 分鐘 timeout。驗收：任務跨重啟存活、SSE 斷線重連續傳。缺 Redis 金鑰（貼 Railway、勿寫頁面）。",Blocked,needs-key,,,Wave 2 耐久任務/成本/血統
Story,真實成本落帳閉環,"估→原子扣→落帳/全退，outbox 模式。驗收：cost_aggregations 不再 $0.00。",To Do,,,,Wave 2 耐久任務/成本/血統
Story,上傳改 signed URL/tus（廢 base64）,"大檔上傳不再過 tRPC body。",To Do,,,,Wave 2 耐久任務/成本/血統
Story,fal.ai 雙層生影片,"草稿 Seedance/Kling/Wan＋精修 Veo 3.1。缺 FAL_KEY（貼 Railway）。注意：影片價以 fal 帳號頁為準。",Blocked,needs-key,caution,,Wave 2 耐久任務/成本/血統
Story,migration 治理：孤兒 migration 全數處置（AIDV-17）,"剩餘孤兒 2026-06-21 補登記。Docker MySQL 對已登記 0000→0079 基準 schema 實跑判定：0033（agent_collaboration_sessions.planStatus/planData/plan_status_idx）+0039–0044（orb 系列 16 表）= 結構從未建立、真的漏了已補；0067 = 0062 已套之 no-op。八支全冪等（0033 裸 ALTER 改 information_schema 守門/PREPARE；orb=CREATE TABLE IF NOT EXISTS；0067 既有守門），通過乾淨套用+重跑 no-op+模擬 fail-closed 整段重跑三關，新增 PENDING_BLOCK+schema.ts 守門測試。drizzle/ 已無孤兒、boot orphan 警告消失。",Done,decision-resolved,,,Wave 2 耐久任務/成本/血統
Story,M3 影片段落狀態機,"video_generation_sessions / segment_jobs；段落級重試/續跑。規模 XL。依賴 Wave 2 耐久化。",To Do,,,,Wave 3 重後端/基建/協作
